token,freq,n_folios,length,first_char,last_char,in_label_pct,in_paragraph_pct,A_pct,B_pct,dominant_section,dominant_section_pct,is_hapax,specificity,cluster,top_anchors,category
daiin,717,195,5,d,n,0.0041841004184100415,0.9260808926080892,0.5983263598326359,0.36231968560866673,herbal,0.5495118549511855,False,0.5495118549511855,15,"n_plant_fragments(npmi=+0.06, n=16) | has_container(npmi=+0.05, n=15) | n_containers(npmi=+0.05, n=13)",[body] herbal/biological | has_central_object+has_T_O_diagram
ol,561,124,2,o,l,0.0,0.9447415329768271,0.20320855614973263,0.7733384153604268,biological,0.42245989304812837,False,0.42245989304812837,27,"n_paragraphs(npmi=+0.27, n=25) | n_decorative_motifs(npmi=+0.25, n=25) | n_stars(npmi=+0.22, n=27)",[body] recipes/biological | n_paragraphs+n_decorative_motifs
aiin,510,132,4,a,n,0.0,0.8862745098039215,0.1803921568627451,0.7487547657114746,recipes,0.42549019607843136,False,0.42549019607843136,9,"n_paragraphs(npmi=+0.24, n=25) | n_decorative_motifs(npmi=+0.23, n=25) | n_stars(npmi=+0.19, n=27)",[body] recipes/zodiac | has_T_O_diagram+spiral_turns
ar,392,115,2,a,r,0.015306122448979591,0.826530612244898,0.1326530612244898,0.7293450258919045,recipes,0.46683673469387754,False,0.46683673469387754,9,"n_decorative_motifs(npmi=+0.31, n=26) | n_paragraphs(npmi=+0.31, n=25) | has_radial_symmetry(npmi=+0.29, n=25)",[body] recipes/zodiac | has_T_O_diagram+spiral_turns
or,368,125,2,o,r,0.002717391304347826,0.904891304347826,0.2717391304347826,0.7005696408016292,herbal,0.328804347826087,False,0.328804347826087,27,"n_decorative_motifs(npmi=+0.23, n=24) | n_paragraphs(npmi=+0.22, n=23) | n_stars(npmi=+0.17, n=25)",[body] recipes/biological | n_paragraphs+n_decorative_motifs
chol,364,146,4,c,l,0.005494505494505495,0.9368131868131868,0.7060439560439561,0.24951601847039237,herbal,0.5741758241758241,False,0.5741758241758241,4,"n_decorative_motifs(npmi=+0.16, n=24) | n_paragraphs(npmi=+0.15, n=23) | n_stars(npmi=+0.12, n=26)",[body] herbal | has_moon_face+has_star_motif
chedy,339,71,5,c,y,0.0,0.9380530973451328,0.0029498525073746312,0.9852421642505352,biological,0.41002949852507375,False,0.41002949852507375,24,"n_paragraphs(npmi=+0.47, n=23) | n_decorative_motifs(npmi=+0.45, n=23) | n_stars(npmi=+0.43, n=25)",[body] biological/recipes | n_nymphs+has_water
chey,337,112,4,c,y,0.0,0.9258160237388724,0.2314540059347181,0.7235386767798534,recipes,0.35014836795252224,False,0.35014836795252224,0,"n_decorative_motifs(npmi=+0.28, n=24) | n_paragraphs(npmi=+0.27, n=23) | n_stars(npmi=+0.24, n=26)",[body] recipes/pharmaceutical | has_moon_face+n_paragraphs
s,323,142,1,s,s,0.01238390092879257,0.8761609907120743,0.5913312693498453,0.3090317642556449,herbal,0.5294117647058824,False,0.5294117647058824,8,"n_plant_fragments(npmi=+0.18, n=16) | has_container(npmi=+0.17, n=15) | n_containers(npmi=+0.16, n=13)",[body] herbal/recipes | spiral_turns+has_spiral
qokeey,294,78,6,q,y,0.0,0.9659863945578231,0.1326530612244898,0.8533564614050303,recipes,0.5510204081632653,False,0.5510204081632653,5,"n_stars(npmi=+0.36, n=24) | n_paragraphs(npmi=+0.37, n=21) | n_nymphs(npmi=+0.40, n=18)",[body] biological/recipes | n_nymphs+n_pools
dar,282,126,3,d,r,0.010638297872340425,0.8900709219858156,0.3120567375886525,0.6057127066271416,herbal,0.35106382978723405,False,0.35106382978723405,10,"n_decorative_motifs(npmi=+0.13, n=20) | n_pipes(npmi=+0.15, n=13) | n_paragraphs(npmi=+0.13, n=19)",[body] herbal/recipes | has_central_object+spiral_turns
qokain,272,47,6,q,n,0.0,0.9779411764705882,0.014705882352941176,0.9852408498675461,biological,0.5735294117647058,False,0.5735294117647058,24,"n_nymphs(npmi=+0.63, n=19) | has_water(npmi=+0.61, n=19) | n_pools(npmi=+0.61, n=17)",[body] biological/recipes | n_nymphs+has_water
al,260,81,2,a,l,0.0038461538461538464,0.8692307692307693,0.10384615384615385,0.7727682730270453,recipes,0.6038461538461538,False,0.6038461538461538,9,"n_paragraphs(npmi=+0.47, n=25) | n_decorative_motifs(npmi=+0.45, n=25) | n_stars(npmi=+0.39, n=26)",[body] recipes/zodiac | has_T_O_diagram+spiral_turns
qokaiin,255,67,7,q,n,0.0,0.984313725490196,0.0784313725490196,0.9212852640479667,recipes,0.4823529411764706,False,0.4823529411764706,12,"n_paragraphs(npmi=+0.52, n=24) | n_decorative_motifs(npmi=+0.51, n=24) | n_stars(npmi=+0.43, n=24)",[body] recipes/herbal | n_paragraphs+n_decorative_motifs
shedy,252,67,5,s,y,0.0,0.9285714285714286,0.003968253968253968,0.9722069128415085,biological,0.49603174603174605,False,0.49603174603174605,24,"n_paragraphs(npmi=+0.50, n=23) | n_decorative_motifs(npmi=+0.48, n=23) | n_nymphs(npmi=+0.49, n=19)",[body] biological/recipes | n_nymphs+has_water
shey,231,91,4,s,y,0.0,0.9567099567099567,0.23376623376623376,0.704914349901713,recipes,0.31601731601731603,False,0.31601731601731603,22,"n_nymphs(npmi=+0.34, n=18) | has_water(npmi=+0.32, n=18) | n_pools(npmi=+0.32, n=16)",[body] recipes/biological | has_central_star+has_T_O_diagram
qokeedy,220,50,7,q,y,0.0,0.9590909090909091,0.0,1.0,biological,0.5318181818181819,False,0.5318181818181819,5,"n_paragraphs(npmi=+0.59, n=22) | n_decorative_motifs(npmi=+0.58, n=22) | n_nymphs(npmi=+0.57, n=18)",[body] biological/recipes | n_nymphs+n_pools
chor,213,113,4,c,r,0.009389671361502348,0.9624413145539906,0.8403755868544601,0.1402915605515061,herbal,0.7276995305164319,False,0.7276995305164319,4,"n_plant_fragments(npmi=+0.20, n=14) | n_containers(npmi=+0.21, n=12) | n_rows(npmi=+0.21, n=8)",[body] herbal | has_moon_face+has_star_motif
dy,202,119,2,d,y,0.0049504950495049506,0.8762376237623762,0.45544554455445546,0.4297241784037559,herbal,0.5,False,0.5,15,"n_pools(npmi=+0.22, n=16) | n_nymphs(npmi=+0.20, n=17) | n_pipes(npmi=+0.21, n=14)",[body] herbal/biological | has_central_object+has_T_O_diagram
okaiin,200,94,6,o,n,0.025,0.93,0.165,0.794344665650838,recipes,0.45,False,0.45,23,"n_decorative_motifs(npmi=+0.36, n=24) | n_paragraphs(npmi=+0.35, n=23) | n_stars(npmi=+0.25, n=23)",[body] recipes/herbal | spiral_turns+has_spiral
dal,189,97,3,d,l,0.0,0.8624338624338624,0.37037037037037035,0.5227850576960689,herbal,0.2698412698412698,False,0.2698412698412698,19,"has_water(npmi=+0.26, n=17) | n_nymphs(npmi=+0.25, n=16) | n_pipes(npmi=+0.25, n=13)",[body] recipes/biological | has_moon_face+has_central_object
qokal,182,57,5,q,l,0.0,0.8956043956043956,0.07142857142857142,0.8897606904668497,biological,0.5274725274725275,False,0.5274725274725275,24,"n_nymphs(npmi=+0.49, n=17) | n_paragraphs(npmi=+0.45, n=19) | has_water(npmi=+0.47, n=17)",[body] biological/recipes | n_nymphs+has_water
shol,175,99,4,s,l,0.005714285714285714,0.9257142857142857,0.64,0.30744705078569806,herbal,0.6114285714285714,False,0.6114285714285714,13,"n_decorative_motifs(npmi=+0.13, n=16) | n_paragraphs(npmi=+0.12, n=15) | n_flowers_visible(npmi=+0.20, n=4)",[body] herbal | has_moon_face+n_petals
qokedy,174,47,6,q,y,0.0,0.9597701149425287,0.0,1.0,biological,0.6149425287356322,False,0.6149425287356322,7,"n_nymphs(npmi=+0.63, n=19) | has_water(npmi=+0.61, n=19) | n_pools(npmi=+0.61, n=17)",[body] recipes/biological | n_nymphs+n_pools
dain,173,84,4,d,n,0.0,0.9248554913294798,0.4393063583815029,0.5477420429928345,herbal,0.41040462427745666,False,0.41040462427745666,15,"n_nymphs(npmi=+0.25, n=14) | has_water(npmi=+0.23, n=14) | n_decorative_motifs(npmi=+0.19, n=16)",[body] herbal/biological | has_central_object+has_T_O_diagram
cheey,173,79,5,c,y,0.0,0.9190751445086706,0.20809248554913296,0.715901885533122,recipes,0.43352601156069365,False,0.43352601156069365,27,"n_paragraphs(npmi=+0.42, n=23) | n_decorative_motifs(npmi=+0.41, n=23) | n_stars(npmi=+0.38, n=25)",[body] recipes/biological | n_paragraphs+n_decorative_motifs
y,170,103,1,y,y,0.011764705882352941,0.8117647058823529,0.29411764705882354,0.5754749568221071,herbal,0.34705882352941175,False,0.34705882352941175,26,"n_decorative_motifs(npmi=+0.31, n=24) | n_paragraphs(npmi=+0.31, n=23) | n_stars(npmi=+0.24, n=24)",[body] recipes/herbal | has_central_star+has_moon_face
che@152;y,165,61,9,c,y,0.0,0.9151515151515152,0.0,0.9757575757575757,recipes,0.37575757575757573,False,0.37575757575757573,24,"n_nymphs(npmi=+0.46, n=17) | n_pools(npmi=+0.47, n=16) | has_water(npmi=+0.44, n=17)",[body] biological/recipes | n_nymphs+has_water
okeey,163,74,5,o,y,0.024539877300613498,0.852760736196319,0.19631901840490798,0.6495244539678959,recipes,0.5153374233128835,False,0.5153374233128835,0,"n_stars(npmi=+0.41, n=25) | n_decorative_motifs(npmi=+0.41, n=22) | n_paragraphs(npmi=+0.40, n=21)",[body] recipes/pharmaceutical | has_moon_face+n_paragraphs
cheol,159,84,5,c,l,0.0,0.9308176100628931,0.4088050314465409,0.545766590389016,recipes,0.34591194968553457,False,0.34591194968553457,18,"n_paragraphs(npmi=+0.37, n=22) | n_decorative_motifs(npmi=+0.35, n=22) | n_stars(npmi=+0.33, n=24)",[body] pharmaceutical/herbal | n_petals+has_moon_face
r,157,83,1,r,r,0.0,0.821656050955414,0.2929936305732484,0.5848957278801377,biological,0.27388535031847133,False,0.27388535031847133,6,"n_nymphs(npmi=+0.31, n=16) | has_water(npmi=+0.29, n=16) | n_pools(npmi=+0.29, n=14)",[body] cosmological/herbal | has_marginal_annotation+fragments_are_whole_plants
otaiin,150,68,6,o,n,0.013333333333333334,0.8933333333333333,0.18666666666666668,0.7191051136363636,recipes,0.5266666666666666,False,0.5266666666666666,23,"n_paragraphs(npmi=+0.37, n=19) | n_decorative_motifs(npmi=+0.36, n=19) | n_stars(npmi=+0.29, n=19)",[body] recipes/herbal | spiral_turns+has_spiral
chy,150,100,3,c,y,0.013333333333333334,0.9133333333333333,0.6933333333333334,0.23889577066006018,herbal,0.6933333333333334,False,0.6933333333333334,13,"n_flowers_visible(npmi=+0.20, n=4) | n_visual_text_columns(npmi=+0.17, n=5) | n_leaves_visible(npmi=+0.15, n=4)",[body] herbal | has_moon_face+n_petals
qol,146,36,3,q,l,0.0,0.9794520547945206,0.03424657534246575,0.9655269452652314,biological,0.7465753424657534,False,0.7465753424657534,5,"n_nymphs(npmi=+0.70, n=18) | n_pools(npmi=+0.71, n=17) | has_water(npmi=+0.68, n=18)",[body] biological/recipes | n_nymphs+n_pools
