token,freq,n_folios,length,first_char,last_char,in_label_pct,in_paragraph_pct,A_pct,B_pct,dominant_section,dominant_section_pct,is_hapax,specificity
daiin,717,195,5,d,n,0.0041841004184100415,0.9260808926080892,0.5983263598326359,0.36231968560866673,herbal,0.5495118549511855,False,0.5495118549511855
ol,561,124,2,o,l,0.0,0.9447415329768271,0.20320855614973263,0.7733384153604268,biological,0.42245989304812837,False,0.42245989304812837
aiin,510,132,4,a,n,0.0,0.8862745098039215,0.1803921568627451,0.7487547657114746,recipes,0.42549019607843136,False,0.42549019607843136
ar,392,115,2,a,r,0.015306122448979591,0.826530612244898,0.1326530612244898,0.7293450258919045,recipes,0.46683673469387754,False,0.46683673469387754
or,368,125,2,o,r,0.002717391304347826,0.904891304347826,0.2717391304347826,0.7005696408016292,herbal,0.328804347826087,False,0.328804347826087
chol,364,146,4,c,l,0.005494505494505495,0.9368131868131868,0.7060439560439561,0.24951601847039237,herbal,0.5741758241758241,False,0.5741758241758241
chedy,339,71,5,c,y,0.0,0.9380530973451328,0.0029498525073746312,0.9852421642505352,biological,0.41002949852507375,False,0.41002949852507375
chey,337,112,4,c,y,0.0,0.9258160237388724,0.2314540059347181,0.7235386767798534,recipes,0.35014836795252224,False,0.35014836795252224
s,323,142,1,s,s,0.01238390092879257,0.8761609907120743,0.5913312693498453,0.3090317642556449,herbal,0.5294117647058824,False,0.5294117647058824
qokeey,294,78,6,q,y,0.0,0.9659863945578231,0.1326530612244898,0.8533564614050303,recipes,0.5510204081632653,False,0.5510204081632653
dar,282,126,3,d,r,0.010638297872340425,0.8900709219858156,0.3120567375886525,0.6057127066271416,herbal,0.35106382978723405,False,0.35106382978723405
qokain,272,47,6,q,n,0.0,0.9779411764705882,0.014705882352941176,0.9852408498675461,biological,0.5735294117647058,False,0.5735294117647058
al,260,81,2,a,l,0.0038461538461538464,0.8692307692307693,0.10384615384615385,0.7727682730270453,recipes,0.6038461538461538,False,0.6038461538461538
qokaiin,255,67,7,q,n,0.0,0.984313725490196,0.0784313725490196,0.9212852640479667,recipes,0.4823529411764706,False,0.4823529411764706
shedy,252,67,5,s,y,0.0,0.9285714285714286,0.003968253968253968,0.9722069128415085,biological,0.49603174603174605,False,0.49603174603174605
shey,231,91,4,s,y,0.0,0.9567099567099567,0.23376623376623376,0.704914349901713,recipes,0.31601731601731603,False,0.31601731601731603
qokeedy,220,50,7,q,y,0.0,0.9590909090909091,0.0,1.0,biological,0.5318181818181819,False,0.5318181818181819
chor,213,113,4,c,r,0.009389671361502348,0.9624413145539906,0.8403755868544601,0.1402915605515061,herbal,0.7276995305164319,False,0.7276995305164319
dy,202,119,2,d,y,0.0049504950495049506,0.8762376237623762,0.45544554455445546,0.4297241784037559,herbal,0.5,False,0.5
okaiin,200,94,6,o,n,0.025,0.93,0.165,0.794344665650838,recipes,0.45,False,0.45
dal,189,97,3,d,l,0.0,0.8624338624338624,0.37037037037037035,0.5227850576960689,herbal,0.2698412698412698,False,0.2698412698412698
qokal,182,57,5,q,l,0.0,0.8956043956043956,0.07142857142857142,0.8897606904668497,biological,0.5274725274725275,False,0.5274725274725275
shol,175,99,4,s,l,0.005714285714285714,0.9257142857142857,0.64,0.30744705078569806,herbal,0.6114285714285714,False,0.6114285714285714
qokedy,174,47,6,q,y,0.0,0.9597701149425287,0.0,1.0,biological,0.6149425287356322,False,0.6149425287356322
dain,173,84,4,d,n,0.0,0.9248554913294798,0.4393063583815029,0.5477420429928345,herbal,0.41040462427745666,False,0.41040462427745666
cheey,173,79,5,c,y,0.0,0.9190751445086706,0.20809248554913296,0.715901885533122,recipes,0.43352601156069365,False,0.43352601156069365
y,170,103,1,y,y,0.011764705882352941,0.8117647058823529,0.29411764705882354,0.5754749568221071,herbal,0.34705882352941175,False,0.34705882352941175
che@152;y,165,61,9,c,y,0.0,0.9151515151515152,0.0,0.9757575757575757,recipes,0.37575757575757573,False,0.37575757575757573
okeey,163,74,5,o,y,0.024539877300613498,0.852760736196319,0.19631901840490798,0.6495244539678959,recipes,0.5153374233128835,False,0.5153374233128835
cheol,159,84,5,c,l,0.0,0.9308176100628931,0.4088050314465409,0.545766590389016,recipes,0.34591194968553457,False,0.34591194968553457
r,157,83,1,r,r,0.0,0.821656050955414,0.2929936305732484,0.5848957278801377,biological,0.27388535031847133,False,0.27388535031847133
chy,150,100,3,c,y,0.013333333333333334,0.9133333333333333,0.6933333333333334,0.23889577066006018,herbal,0.6933333333333334,False,0.6933333333333334
otaiin,150,68,6,o,n,0.013333333333333334,0.8933333333333333,0.18666666666666668,0.7191051136363636,recipes,0.5266666666666666,False,0.5266666666666666
qol,146,36,3,q,l,0.0,0.9794520547945206,0.03424657534246575,0.9655269452652314,biological,0.7465753424657534,False,0.7465753424657534
qokar,145,65,5,q,r,0.0,0.9724137931034482,0.10344827586206896,0.8890209125475286,recipes,0.32413793103448274,False,0.32413793103448274
otar,141,69,4,o,r,0.02127659574468085,0.8794326241134752,0.07801418439716312,0.8222400965212144,recipes,0.46099290780141844,False,0.46099290780141844
okal,140,76,4,o,l,0.04285714285714286,0.9,0.22857142857142856,0.6703341483292583,recipes,0.4142857142857143,False,0.4142857142857143
oteey,135,66,5,o,y,0.007407407407407408,0.7185185185185186,0.11851851851851852,0.6438791732909379,recipes,0.42962962962962964,False,0.42962962962962964
qoky,133,68,4,q,y,0.0,0.9548872180451128,0.22556390977443608,0.7731248941813873,biological,0.42105263157894735,False,0.42105263157894735
chckhy,131,74,6,c,y,0.0,0.9541984732824428,0.12213740458015267,0.8617919310706177,herbal,0.366412213740458,False,0.366412213740458
otal,130,66,4,o,l,0.05384615384615385,0.9,0.15384615384615385,0.7606382978723404,recipes,0.46923076923076923,False,0.46923076923076923
sheey,128,75,5,s,y,0.0078125,0.953125,0.3046875,0.6546915910613165,recipes,0.3671875,False,0.3671875
okar,127,65,4,o,r,0.023622047244094488,0.8818897637795275,0.11023622047244094,0.7867187016044106,recipes,0.3464566929133858,False,0.3464566929133858
okain,125,50,5,o,n,0.024,0.944,0.048,0.9436376431450323,recipes,0.472,False,0.472
saiin,125,76,5,s,n,0.0,0.912,0.272,0.6785235327926432,recipes,0.304,False,0.304
ain,121,56,3,a,n,0.0,0.9173553719008265,0.09090909090909091,0.8671171171171171,recipes,0.5371900826446281,False,0.5371900826446281
l,120,48,1,l,l,0.008333333333333333,0.8333333333333334,0.125,0.7492195629552549,recipes,0.5583333333333333,False,0.5583333333333333
sho,118,75,3,s,o,0.0,0.9322033898305084,0.8389830508474576,0.1093917136133495,herbal,0.7372881355932204,False,0.7372881355932204
oty,111,75,3,o,y,0.04504504504504504,0.7927927927927928,0.34234234234234234,0.5298972408770936,herbal,0.42342342342342343,False,0.42342342342342343
she@152;y,108,49,9,s,y,0.0,0.9259259259259259,0.0,0.9907407407407407,biological,0.4166666666666667,False,0.4166666666666667
@152;aiin,106,67,9,@,n,0.009433962264150943,0.9528301886792453,0.5,0.4507042253521127,herbal,0.44339622641509435,False,0.44339622641509435
o,105,68,1,o,o,0.02857142857142857,0.6285714285714286,0.3142857142857143,0.40830168204015194,herbal,0.2857142857142857,False,0.2857142857142857
chdy,104,59,4,c,y,0.009615384615384616,0.8557692307692307,0.08653846153846154,0.8550577367205542,herbal,0.36538461538461536,False,0.36538461538461536
qokey,102,48,5,q,y,0.0,0.9509803921568627,0.1568627450980392,0.8320537428023033,recipes,0.39215686274509803,False,0.39215686274509803
oky,100,77,3,o,y,0.05,0.89,0.42,0.49790878311093406,herbal,0.52,False,0.52
cthy,98,57,4,c,y,0.0,0.9897959183673469,0.8979591836734694,0.07078002476269088,herbal,0.8775510204081632,False,0.8775510204081632
qokol,97,58,5,q,l,0.0,0.9484536082474226,0.44329896907216493,0.5233812949640289,herbal,0.30927835051546393,False,0.30927835051546393
otain,95,45,5,o,n,0.010526315789473684,0.968421052631579,0.05263157894736842,0.9363233665559246,recipes,0.5684210526315789,False,0.5684210526315789
dol,94,62,3,d,l,0.0,0.9361702127659575,0.5957446808510638,0.3805668016194332,herbal,0.43617021276595747,False,0.43617021276595747
dair,93,68,4,d,r,0.03225806451612903,0.7956989247311828,0.40860215053763443,0.438931737078393,herbal,0.34408602150537637,False,0.34408602150537637
sheol,92,58,5,s,l,0.010869565217391304,0.9347826086956522,0.391304347826087,0.5519999999999999,recipes,0.2391304347826087,False,0.2391304347826087
otedy,90,40,5,o,y,0.011111111111111112,0.8555555555555555,0.0,0.9888888888888889,recipes,0.4111111111111111,False,0.4111111111111111
am,88,54,2,a,m,0.045454545454545456,0.75,0.1590909090909091,0.6692446506831657,recipes,0.38636363636363635,False,0.38636363636363635
shor,88,60,4,s,r,0.0,0.9772727272727273,0.7045454545454546,0.29310786574429926,herbal,0.7045454545454546,False,0.7045454545454546
cheor,85,59,5,c,r,0.011764705882352941,0.8588235294117647,0.5647058823529412,0.2921765433796233,herbal,0.35294117647058826,False,0.35294117647058826
qoty,84,53,4,q,y,0.0,0.9642857142857143,0.30952380952380953,0.6760802033323919,herbal,0.32142857142857145,False,0.32142857142857145
qotaiin,83,41,7,q,n,0.0,0.9518072289156626,0.1566265060240964,0.8417849898580122,recipes,0.5301204819277109,False,0.5301204819277109
qoke@152;y,83,43,10,q,y,0.0,0.963855421686747,0.012048192771084338,0.9878084179970972,biological,0.4939759036144578,False,0.4939759036144578
oteedy,83,44,6,o,y,0.012048192771084338,0.8554216867469879,0.012048192771084338,0.9155297532656023,recipes,0.5783132530120482,False,0.5783132530120482
chcthy,81,55,6,c,y,0.0,0.8888888888888888,0.25925925925925924,0.7137648131267093,herbal,0.30864197530864196,False,0.30864197530864196
otol,80,64,4,o,l,0.0375,0.7875,0.5,0.37267080745341613,herbal,0.4125,False,0.4125
lchedy,78,32,6,l,y,0.0,0.9615384615384616,0.01282051282051282,0.9870172555464256,recipes,0.47435897435897434,False,0.47435897435897434
chody,78,59,5,c,y,0.0,0.9487179487179487,0.5,0.4585987261146497,herbal,0.5512820512820513,False,0.5512820512820513
shy,77,55,3,s,y,0.0,0.922077922077922,0.6233766233766234,0.3478333612180023,herbal,0.6623376623376623,False,0.6623376623376623
air,77,49,3,a,r,0.03896103896103896,0.7922077922077922,0.09090909090909091,0.7134433962264151,recipes,0.5194805194805194,False,0.5194805194805194
cheody,75,52,6,c,y,0.013333333333333334,0.88,0.36,0.517515923566879,recipes,0.37333333333333335,False,0.37333333333333335
sar,75,51,3,s,r,0.0,0.8,0.18666666666666668,0.6517112963291364,recipes,0.32,False,0.32
char,73,52,4,c,r,0.0136986301369863,0.9178082191780822,0.410958904109589,0.5312558313118119,herbal,0.4383561643835616,False,0.4383561643835616
cho,73,56,3,c,o,0.0136986301369863,0.821917808219178,0.684931506849315,0.18999814091838632,herbal,0.5616438356164384,False,0.5616438356164384
cheo,73,40,4,c,o,0.0,0.9041095890410958,0.3424657534246575,0.5726559581621218,recipes,0.5342465753424658,False,0.5342465753424658
qokee@152;y,72,31,11,q,y,0.0,0.9861111111111112,0.0,1.0,recipes,0.5416666666666666,False,0.5416666666666666
okol,71,54,4,o,l,0.04225352112676056,0.8450704225352113,0.5915492957746479,0.2793625811528625,herbal,0.323943661971831,False,0.323943661971831
sain,66,38,4,s,n,0.0,0.9090909090909091,0.07575757575757576,0.8777803256133914,recipes,0.36363636363636365,False,0.36363636363636365
qokchy,65,51,6,q,y,0.0,0.9384615384615385,0.5846153846153846,0.3964344358433028,herbal,0.6615384615384615,False,0.6615384615384615
okedy,65,34,5,o,y,0.015384615384615385,0.9230769230769231,0.0,0.9692307692307692,recipes,0.35384615384615387,False,0.35384615384615387
qotar,64,40,5,q,r,0.0,0.9375,0.03125,0.9682772083943387,recipes,0.453125,False,0.453125
qotal,64,36,5,q,l,0.0,0.96875,0.0625,0.9053658536585366,biological,0.421875,False,0.421875
otey,63,44,4,o,y,0.015873015873015872,0.6349206349206349,0.09523809523809523,0.5864150943396227,recipes,0.2857142857142857,False,0.2857142857142857
sol,63,41,3,s,l,0.0,0.8571428571428571,0.25396825396825395,0.6956085319949812,biological,0.5873015873015873,False,0.5873015873015873
dor,62,46,3,d,r,0.0,0.9838709677419355,0.7096774193548387,0.28703703703703703,herbal,0.6451612903225806,False,0.6451612903225806
okeol,62,37,5,o,l,0.0,0.8709677419354839,0.5806451612903226,0.2876288659793815,pharmaceutical,0.46774193548387094,False,0.46774193548387094
okeedy,62,35,6,o,y,0.0,0.9838709677419355,0.016129032258064516,0.9674902470741222,recipes,0.5,False,0.5
cheky,62,46,5,c,y,0.0,0.8870967741935484,0.1935483870967742,0.7074688796680497,herbal,0.4032258064516129,False,0.4032258064516129
qotedy,62,34,6,q,y,0.0,0.9516129032258065,0.0,1.0,biological,0.5967741935483871,False,0.5967741935483871
qotain,62,29,6,q,n,0.0,1.0,0.03225806451612903,0.967238689547582,recipes,0.5967741935483871,False,0.5967741935483871
kaiin,61,39,5,k,n,0.0,0.9508196721311475,0.16393442622950818,0.8011257035647279,recipes,0.47540983606557374,False,0.47540983606557374
qotchy,60,45,6,q,y,0.0,0.9833333333333333,0.8166666666666667,0.18087147163606468,herbal,0.8166666666666667,False,0.8166666666666667
okey,59,37,4,o,y,0.01694915254237288,0.864406779661017,0.288135593220339,0.5397369925671812,recipes,0.3220338983050847,False,0.3220338983050847
dam,57,47,3,d,m,0.017543859649122806,0.8421052631578947,0.5789473684210527,0.3126142595978062,herbal,0.543859649122807,False,0.543859649122807
oly,56,35,3,o,y,0.0,0.9464285714285714,0.16071428571428573,0.7834658187599364,biological,0.48214285714285715,False,0.48214285714285715
qoteedy,56,33,7,q,y,0.0,0.9642857142857143,0.0,0.9821428571428571,biological,0.5535714285714286,False,0.5535714285714286
cthol,55,38,5,c,l,0.0,0.9090909090909091,0.9272727272727272,0.05364109232769831,herbal,0.8363636363636363,False,0.8363636363636363
